Iniciando processamento de lotes
Total de lotes encontrados: 924


Imoveis que sofreram mudanca na area:
Lote 01-08-91 sofreu mudanca na area, de (registro): 200.0 para: 273.09511867188337 (area geometria)
Lote 01-08-77 sofreu mudanca na area, de (registro): 105.0 para: 180.0122436378787 (area geometria)
Lote 01-08-62 sofreu mudanca na area, de (registro): 98.0 para: 130.03933655046472 (area geometria)
Lote 01-08-194 sofreu mudanca na area, de (registro): 200.0 para: 281.35253913432246 (area geometria)
Lote 01-08-204 sofreu mudanca na area, de (registro): 200.0 para: 266.69029707434856 (area geometria)
Lote 01-08-214 sofreu mudanca na area, de (registro): 200.0 para: 303.065345030491 (area geometria)
Lote 01-08-248 sofreu mudanca na area, de (registro): 106.0 para: 886.2560247879283 (area geometria)
Lote 01-07-21 sofreu mudanca na area, de (registro): 230.0 para: 156.68333304032174 (area geometria)
Lote 01-06-34 sofreu mudanca na area, de (registro): 215.04 para: 115.89788349079564 (area geometria)
Lote 01-06-461 sofreu mudanca na area, de (registro): 189.54 para: 98.77363317243811 (area geometria)
Lote 01-06-431 sofreu mudanca na area, de (registro): 105.0 para: 229.939429308399 (area geometria)
Lote 01-05-507 sofreu mudanca na area, de (registro): 153.65 para: 231.4200574630338 (area geometria)
Lote 01-05-243 sofreu mudanca na area, de (registro): 72.6 para: 103.6214343002281 (area geometria)
Lote 01-05-340 sofreu mudanca na area, de (registro): 2256.37 para: 222.44814387688393 (area geometria)
Lote 01-04-265 sofreu mudanca na area, de (registro): 100.0 para: 130.96288999721958 (area geometria)
Lote 01-03-31 sofreu mudanca na area, de (registro): 153.0 para: 99.71916075301465 (area geometria)
Lote 01-03-348 sofreu mudanca na area, de (registro): 200.0 para: 372.3125144444175 (area geometria)
Lote 01-03-359 sofreu mudanca na area, de (registro): 83.38 para: 111.2503637351665 (area geometria)
Lote 01-03-30 sofreu mudanca na area, de (registro): 171.0 para: 42.73489291891606 (area geometria)
Lote 01-03-142 sofreu mudanca na area, de (registro): 236.0 para: 104.97090250427557 (area geometria)
Lote 01-02-256 sofreu mudanca na area, de (registro): 145.61 para: 62.74337898848961 (area geometria)
Lote 01-02-173 sofreu mudanca na area, de (registro): 64.0 para: 34.873590934061994 (area geometria)
Lote 01-02-88 sofreu mudanca na area, de (registro): 111.42 para: 201.0764519685504 (area geometria)
Lote 01-02-55 sofreu mudanca na area, de (registro): 121.51 para: 229.21572136625775 (area geometria)
